### all pods
NAMESPACE                               NAME                                                              READY   STATUS                   RESTARTS        AGE    IP              NODE                                    NOMINATED NODE   READINESS GATES
kube-system                             kube-controller-manager-edge-ec28263f33bf0977305518dae410b08e     1/1     Running                  6 (149m ago)    73m    172.31.8.99     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kube-system                             kube-proxy-edge-ec28263f33bf0977305518dae410b08e                  1/1     Running                  0               44m    172.31.8.99     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kube-system                             kube-scheduler-edge-ec28263f33bf0977305518dae410b08e              1/1     Running                  2 (150m ago)    73m    172.31.8.99     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kube-system                             kube-vip-ds-6hc9l                                                 1/1     Running                  2 (150m ago)    12h    172.31.8.99     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kube-system                             rke2-coredns-rke2-coredns-74d7986b4f-949fm                        1/1     Running                  0               148m   192.168.0.169   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kube-system                             rke2-coredns-rke2-coredns-autoscaler-5d56465b85-vhbct             1/1     Running                  2 (150m ago)    13h    192.168.0.217   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kube-system                             rke2-snapshot-controller-bc4c494bf-tfdw4                          1/1     Running                  0               146m   192.168.0.254   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kubeflow                                training-operator-5d848fbd58-chpql                                1/1     Running                  1 (150m ago)    3h     192.168.0.250   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-attacher-65b4cd7677-cxlml                                     1/1     Running                  3 (146m ago)    12h    192.168.0.235   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-attacher-65b4cd7677-j2k8p                                     1/1     Running                  6 (146m ago)    12h    192.168.0.92    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-attacher-65b4cd7677-w895r                                     1/1     Running                  3 (146m ago)    12h    192.168.0.59    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-provisioner-86bcdc7644-b87h7                                  1/1     Running                  0               146m   192.168.0.95    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-provisioner-86bcdc7644-mxk8x                                  1/1     Running                  0               146m   192.168.0.48    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-provisioner-86bcdc7644-qgrlq                                  1/1     Running                  1 (146m ago)    146m   192.168.0.219   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-resizer-8fc7bf998-6t8xc                                       1/1     Running                  3 (146m ago)    12h    192.168.0.119   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-resizer-8fc7bf998-gjc6r                                       1/1     Running                  6 (146m ago)    12h    192.168.0.45    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-resizer-8fc7bf998-tfcnc                                       1/1     Running                  6 (146m ago)    12h    192.168.0.18    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
longhorn-system                         csi-snapshotter-cfc8b754c-9949b                                   1/1     Running                  2 (146m ago)    11h    192.168.0.229   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
